video_id,datetime,title
UFhJefdVCjE,2016-10-11T17:46:29Z,p-hacking and power calculations
Rblav_ehMTE,2016-10-01T16:24:14Z,Roses
G-9USywzN3E,2016-08-31T22:15:22Z,Nasty Weather
R6ALolnItXg,2016-07-26T07:40:57Z,Maybe It&#39;ll Go Away
azXCzI57Yfc,2016-07-10T21:36:51Z,StatQuest: Linear Discriminant Analysis (LDA) clearly explained.
xXqa7sVypYI,2016-07-01T01:43:12Z,Another Day
WkjBXrX1Q2k,2016-04-01T19:42:05Z,Rachel&#39;s Song (the ballad of Hazel Motes)
oMtDyOn2TCc,2016-01-06T15:46:44Z,Drawing and Interpreting Heatmaps
K2QWmW6LKmg,2015-12-05T17:11:39Z,Christmas In Rio! (now on iTunes!)
TCrC8Vdv1_4,2015-09-30T01:06:29Z,That&#39;s Alright
gKnfP2_Xdpo,2015-08-27T19:47:18Z,StatQuest: RNA-seq - the problem with technical replicates
_UVHneBUBW0,2015-08-13T17:37:04Z,Principal Component Analysis (PCA) clearly explained (2015)
O33LgXNk87g,2015-07-01T01:37:00Z,How to puree garlic
zB7CCWQbkWs,2015-06-21T19:44:08Z,That Dude (in the movies)
fglJIFv08hs,2015-04-19T21:18:04Z,Wrapping up dumplings for pot stickers.
2AQKmw14mHM,2015-02-03T14:48:20Z,"R-squared, Clearly Explained!!!"
Sn-keVh_ERw,2014-09-28T16:12:29Z,onion-dice
yMYcH8-OfJk,2014-08-24T21:40:26Z,Cutting Butter
